s6,6,239,0.222
s7,7,292,0.264
s8,8,369,0.382
s9,9,510,0.773
s10,10,904,0.08
s20,11,976,0.278
s21,12,1247,0.156
s22,13,1442,0.31
s23,14,1889,0.093
s24,15,1955,0.475191816
,,"2,884",
